V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68
0,0,0,0,0,0,0,0,0,0,0,0.00798266878231567,0.0581378385817492,0.103965233636447,0.145959519697998,0.184537669024198,0.218848256234754,0.250003107875307,0.279041491938895,0.306101032155413,0.331301341176037,0.354750397236172,0.376233240971907,0.39583003822015,0.41433798960753,0.430957622985763,0.445698943148338,0.459368101521927,0.472000457197962,0.483669451506156,0.494444046471842,0.504388014467976,0.513560523527891,0.522015597098889,0.529617961370563,0.536555641785596,0.542945768803734,0.548828531499039,0.554241169870829,0.559218410035693,0.563775544772955,0.567975915009716,0.571833738273235,0.575373801086614,0.578602438132665,0.581577439162333,0.584305504415766,0.587020782882828,0.590193058944483,0.593130946858205,0.595919463047809,0.598997626630297,0.601936970556019,0.604576436421427,0.607016119275859,0.609229006105117,0.611275081405634,0.612859955489117,0.614296833805644,0.615662637562191,0.616889864259784,0.618032180316605,0.619053000722031,0.620006263083432,0.620860582405408,0.621551234317335,0.622183524759514,0.622743576154362
0,0,0,0,0,0,0,-0.000830873775882005,-0.079282418629018,-0.152124141476925,-0.219916109471061,-0.282601323443815,-0.337557180667147,-0.387823284305786,-0.433928430566623,-0.476317108049832,-0.513876939027205,-0.547371233900107,-0.578046939127584,-0.606225069308834,-0.632141178447873,-0.6559917128286,-0.677716126204809,-0.69738083107713,-0.715906731208819,-0.734690915205588,-0.754031028501436,-0.772159477963733,-0.789048088268485,-0.804759257324203,-0.819356856655624,-0.832903447519599,-0.845460034212641,-0.857080450659247,-0.86765720160794,-0.877379629566289,-0.886352675124995,-0.894629503317763,-0.902258133420943,-0.909283904356593,-0.915688776909246,-0.921632432139924,-0.927099773400998,-0.932121974534736,-0.936670448591559,-0.940896847162722,-0.944778497339585,-0.948384926704939,-0.952086325544947,-0.955513628342406,-0.958707665749091,-0.961682161045007,-0.96448285113812,-0.967350809942341,-0.970058189234791,-0.972486782166024,-0.974772978549341,-0.976791589952935,-0.978668912383252,-0.980373985437071,-0.981874433500189,-0.983300699494329,-0.984550161204197,-0.985744959257763,-0.986787174677942,-0.987620184479004,-0.988415976839471,-0.989097806886904
0,0.135376728255859,0.256623456621089,0.365222579189665,0.462527618864985,0.549786987326683,0.62814132065437,0.698599693901235,0.760821836177161,0.817569650614738,0.869495345430893,0.917291050950371,0.961999387724059,1.00334448556625,1.04165325801965,1.0772081476418,1.10991871234884,1.14014570973194,1.16823013817581,1.19447208562417,1.21896083288918,1.24176940486622,1.26119529868977,1.2788818123617,1.29576799365652,1.31178404756885,1.3270330043828,1.34137983769307,1.35479551447965,1.36732299347547,1.37900711354315,1.38989140231973,1.40001816760246,1.40941831385148,1.41794747881712,1.42580308161804,1.43307806304752,1.43981208021249,1.44603920207971,1.45179192251192,1.45700037886294,1.46189343056468,1.46640918952722,1.4705673015022,1.47429368527936,1.47780596165105,1.48104220147743,1.48377258405193,1.48720366729462,1.49041389608967,1.49344924081238,1.49670770362932,1.49986402645631,1.50312671236456,1.50624250494076,1.50900473520073,1.51163371259446,1.5143116056541,1.51689488456926,1.51932292372566,1.52144264208612,1.52347533484123,1.52523402611404,1.52693390052747,1.52837759488837,1.52967491759286,1.53098677730342,1.53208468108019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917549089680884,0.0277061590857272,0.0449845924651407,0.0610646331745056,0.0760139882498894,0.0898977257662939,0.102778274835218,0.114715620582436,0.125765900829177,0.13576007065872,0.144931065824066,0.153412887010322,0.161249951318991,0.168483989022868,0.175155014398323,0.181276998334604,0.18693370523782,0.192138902448005,0.196923579452654,0.201292819413792,0.205325641099562,0.209027974491459,0.212019483136153,0.214291103116551,0.216375325994553,0.218252712171245,0.219889866106499,0.221496641597475,0.222979505733099,0.224360664457533,0.225598648261503,0.226757661564559,0.227819411364968,0.228780715552508,0.229596801715128,0.230315709422569,0.23099428939576,0.23159088970924,0.232156776955834,0.232636981309196,0.233074585791463,0.23349997515652,0.233869617890474
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168105907082338,-0.0424857446136447,-0.065916509977716,-0.0873167299960563,-0.106865074883553,-0.124717138847451,-0.1403890530496,-0.154683217214701,-0.167764078968517,-0.180363021074448,-0.192729686582445,-0.204245830651944,-0.214952559238444,-0.224896532831988,-0.234122793399824,-0.24267449668571,-0.250593013541254,-0.257915662221992,-0.264516505365887,-0.270561503448393,-0.276145331408627,-0.281299508743502,-0.286052913576667,-0.290432989100059,-0.294437882022592,-0.298147091464728,-0.301559295188171,-0.304694502756497,-0.30754498036376,-0.310185211860799,-0.312609410240525,-0.314580111540764,-0.315728229147412,-0.316773233121414,-0.31794771171514,-0.320128951589951,-0.322308373521059,-0.324615136535435,-0.326771582755893,-0.32871511726548,-0.330529863120159,-0.331808942915591,-0.332964773826988,-0.334034921970698,-0.33498040930211,-0.335874464178931,-0.336659413702699,-0.33740560719199,-0.338017861337347,-0.33850818174631,-0.338975959183843,-0.339379490299719
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76619043673708e-05,0.000312292830857653,0.000572376991143244,0.000810577554647374,0.00102594517898159,0.00122308275400787,0.00142633428671336,0.00156848723095955,0.00167786784981312,0.0017836833190834
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00173847419661155,-0.00349627480634341,-0.00508844305686023,-0.00655806115289389,-0.00788220631512011,-0.0090904590625933,-0.0101640071063236,-0.0111299348624614,-0.0120256531731698,-0.0128296256041559,-0.0135769398624642,-0.0142766669597513,-0.0148782097425956,-0.0154280463312714,-0.0159194163214297
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000321840556245559,-0.000931859549112099,-0.0014979257060512,-0.00203250942289605
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000584833786093187,-0.00131350405936146,-0.0019692975153463
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212052024063952,0.00419076194337013,0.00607121853972869,0.00780565801595918,0.00947863453998634,0.0110113743914267,0.0124380570115215,0.0137252278047137,0.0149127926500435,0.0159830776316199,0.0169722835991322,0.0178575253336158,0.01868761018264,0.0194721942354875,0.0201738376777832
